State,Zip,County,Green,Yellow,Red
SC,29135,Calhoun County,,,Red
SC,29160,Calhoun County,,,Red
SC,29401,Charleston County,,,Red
SC,29403,Charleston County,,,Red
SC,29404,Charleston County,,,Red
SC,29405,Charleston County,Green,,
SC,29406,Charleston County,Green,,
SC,29407,Charleston County,,,Red
SC,29410,Charleston County,,,Red
SC,29412,Charleston County,,Yellow,
SC,29414,Charleston County,Green,,
SC,29418,Charleston County,Green,,
SC,29420,Charleston County,,Yellow,
SC,29424,Charleston County,,,Red
SC,29425,Charleston County,,Yellow,
SC,29426,Charleston County,,,Red
SC,29429,Charleston County,,Yellow,
SC,29438,Charleston County,,,Red
SC,29439,Charleston County,,,Red
SC,29449,Charleston County,Green,,
SC,29450,Charleston County,,,Red
SC,29451,Charleston County,,Yellow,
SC,29453,Charleston County,,,Red
SC,29455,Charleston County,Green,,
SC,29456,Charleston County,,,Red
SC,29458,Charleston County,,Yellow,
SC,29464,Charleston County,,Yellow,
SC,29466,Charleston County,,,Red
SC,29470,Charleston County,,,Red
SC,29482,Charleston County,,,Red
SC,29483,Charleston County,,,Red
SC,29485,Charleston County,,,Red
SC,29487,Charleston County,,,Red
SC,29492,Charleston County,,,Red
SC,29307,Cherokee County,,,Red
SC,29323,Cherokee County,,,Red
SC,29330,Cherokee County,,,Red
SC,29340,Cherokee County,,,Red
SC,29341,Cherokee County,,Yellow,
SC,29372,Cherokee County,,,Red
SC,29702,Cherokee County,,,Red
SC,29743,Cherokee County,,,Red
SC,29014,Chester County,,,Red
SC,29031,Chester County,,,Red
SC,29055,Chester County,,,Red
SC,29704,Chester County,,,Red
SC,29706,Chester County,,,Red
SC,29712,Chester County,,,Red
SC,29714,Chester County,,,Red
SC,29729,Chester County,,,Red
SC,29730,Chester County,,,Red
SC,29742,Chester County,,,Red
SC,29001,Clarendon County,,,Red
SC,29051,Clarendon County,,,Red
SC,29056,Clarendon County,,,Red
SC,29102,Clarendon County,Green,,
SC,29111,Clarendon County,,,Red
SC,29114,Clarendon County,,,Red
SC,29125,Clarendon County,,,Red
SC,29148,Clarendon County,Green,,
SC,29162,Clarendon County,,,Red
SC,29518,Clarendon County,,,Red
SC,29560,Clarendon County,,,Red
SC,29081,Colleton County,Green,,
SC,29082,Colleton County,Green,,
SC,29433,Colleton County,Green,,
SC,29435,Colleton County,Green,,
SC,29438,Colleton County,Green,,
SC,29446,Colleton County,Green,,
SC,29452,Colleton County,Green,,
SC,29472,Colleton County,,Yellow,
SC,29474,Colleton County,,Yellow,
SC,29475,Colleton County,Green,,
SC,29481,Colleton County,Green,,
SC,29488,Colleton County,Green,,
SC,29493,Colleton County,,,Red
SC,29929,Colleton County,Green,,
SC,29945,Colleton County,,Yellow,
SC,29069,Darlington County,,,Red
SC,29079,Darlington County,,,Red
SC,29101,Darlington County,,,Red
SC,29161,Darlington County,,,Red
SC,29501,Darlington County,Green,,
SC,29506,Darlington County,,,Red
SC,29532,Darlington County,,Yellow,
SC,29540,Darlington County,,,Red
SC,29550,Darlington County,,,Red
SC,29593,Darlington County,,,Red
SC,29525,Dillon County,,,Red
SC,29536,Dillon County,,,Red
SC,29543,Dillon County,,,Red
SC,29547,Dillon County,,Yellow,
SC,29563,Dillon County,,,Red
SC,29565,Dillon County,,Yellow,
SC,29567,Dillon County,,,Red
SC,29581,Dillon County,,,Red
SC,29592,Dillon County,,,Red
SC,29018,Dorchester County,,,Red
SC,29406,Dorchester County,Green,,
SC,29414,Dorchester County,,Yellow,
SC,29418,Dorchester County,Green,,
SC,29420,Dorchester County,Green,,
SC,29426,Dorchester County,,,Red
SC,29432,Dorchester County,Green,,
SC,29437,Dorchester County,Green,,
SC,29448,Dorchester County,,,Red
SC,29456,Dorchester County,,,Red
SC,29470,Dorchester County,,,Red
SC,29471,Dorchester County,,,Red
SC,29472,Dorchester County,,,Red
SC,29477,Dorchester County,,Yellow,
SC,29483,Dorchester County,,Yellow,
SC,29485,Dorchester County,Green,,
SC,29486,Dorchester County,,,Red
SC,29129,Edgefield County,,,Red
SC,29138,Edgefield County,Green,,
SC,29821,Edgefield County,,,Red
SC,29824,Edgefield County,Green,,
SC,29832,Edgefield County,,Yellow,
SC,29835,Edgefield County,,,Red
SC,29838,Edgefield County,,,Red
SC,29841,Edgefield County,,,Red
SC,29845,Edgefield County,,,Red
SC,29847,Edgefield County,,,Red
SC,29860,Edgefield County,,,Red
SC,29014,Fairfield County,,,Red
SC,29015,Fairfield County,,,Red
SC,29016,Fairfield County,,,Red
SC,29031,Fairfield County,,,Red
SC,29045,Fairfield County,,,Red
SC,29055,Fairfield County,,,Red
SC,29065,Fairfield County,,,Red
SC,29130,Fairfield County,Green,,
SC,29180,Fairfield County,,Yellow,
SC,29114,Florence County,,,Red
SC,29161,Florence County,,,Red
SC,29501,Florence County,,,Red
SC,29505,Florence County,,Yellow,
SC,29506,Florence County,,Yellow,
SC,29530,Florence County,,,Red
SC,29541,Florence County,Green,,
SC,29554,Florence County,,,Red
SC,29555,Florence County,,,Red
SC,29560,Florence County,Green,,
SC,29583,Florence County,,Yellow,
SC,29591,Florence County,,,Red
SC,29440,Georgetown County,,Yellow,
SC,29442,Georgetown County,,,Red
SC,29510,Georgetown County,,,Red
SC,29554,Georgetown County,,,Red
SC,29576,Georgetown County,Green,,
SC,29585,Georgetown County,Green,,
SC,29322,Greenville County,,,Red
SC,29356,Greenville County,Green,,
SC,29601,Greenville County,Green,,
SC,29605,Greenville County,,,Red
SC,29607,Greenville County,,,Red
SC,29609,Greenville County,,,Red
SC,29611,Greenville County,,,Red
SC,29615,Greenville County,,,Red
SC,29616,Greenville County,,,Red
SC,29617,Greenville County,Green,,
SC,29627,Greenville County,,,Red
SC,29635,Greenville County,,,Red
SC,29644,Greenville County,,,Red
SC,29645,Greenville County,,,Red
SC,29650,Greenville County,Green,,
SC,29651,Greenville County,Green,,
SC,29654,Greenville County,,,Red
SC,29661,Greenville County,,Yellow,
SC,29662,Greenville County,,,Red
SC,29669,Greenville County,,Yellow,
SC,29673,Greenville County,Green,,
SC,29680,Greenville County,,,Red
SC,29681,Greenville County,,,Red
SC,29683,Greenville County,,,Red
SC,29687,Greenville County,Green,,
SC,29690,Greenville County,,,Red
SC,29646,Greenwood County,,Yellow,
SC,29649,Greenwood County,Green,,
SC,29653,Greenwood County,,,Red
SC,29666,Greenwood County,,,Red
SC,29692,Greenwood County,,,Red
SC,29827,Hampton County,,,Red
SC,29911,Hampton County,,,Red
SC,29916,Hampton County,,,Red
