NC,Zip,County,Green,Yellow,Red
NC,28645,Watauga County,,Yellow,
NC,28657,Avery County,,,Red
NC,28604,Avery County,,Yellow,
NC,28622,Avery County,,Yellow,
NC,28777,Avery County,,,Red
NC,28646,Avery County,,Yellow,
NC,28611,Avery County,Green,,
NC,28679,Avery County,,Yellow,
NC,28605,Avery County,Green,,
NC,28782,Polk County,,,Red
NC,28722,Polk County,,,Red
NC,28756,Polk County,,Yellow,
NC,28773,Polk County,,,Red
NC,28139,Polk County,Green,,
NC,28731,Polk County,,,Red
NC,28792,Polk County,,Yellow,
NC,28642,Yadkin County,Green,,
NC,27020,Yadkin County,,,Red
NC,27055,Yadkin County,Green,,
NC,27011,Yadkin County,,,Red
NC,27018,Yadkin County,,Yellow,
NC,28634,Yadkin County,,,Red
NC,28689,Yadkin County,,Yellow,
NC,27947,Currituck County,,,Red
NC,27927,Currituck County,Green,,
NC,27939,Currituck County,Green,,
NC,27966,Currituck County,Green,,
NC,27965,Currituck County,,,Red
NC,27958,Currituck County,,Yellow,
NC,27950,Currituck County,,,Red
NC,27929,Currituck County,,,Red
NC,27973,Currituck County,,Yellow,
NC,27964,Currituck County,,Yellow,
NC,27941,Currituck County,,,Red
NC,27916,Currituck County,,Yellow,
NC,27917,Currituck County,,,Red
NC,27923,Currituck County,,,Red
NC,27956,Currituck County,,,Red
NC,28466,Duplin County,Green,,
NC,28398,Duplin County,,,Red
NC,28453,Duplin County,,Yellow,
NC,28349,Duplin County,Green,,
NC,28518,Duplin County,,,Red
NC,28521,Duplin County,,,Red
NC,28464,Duplin County,,,Red
NC,28572,Duplin County,,,Red
NC,28365,Duplin County,,,Red
NC,28574,Duplin County,Green,,
NC,28458,Duplin County,,,Red
NC,28508,Duplin County,Green,,
NC,28341,Duplin County,,,Red
NC,28444,Duplin County,,Yellow,
NC,28525,Duplin County,,Yellow,
NC,28393,Duplin County,,Yellow,
NC,28578,Duplin County,,,Red
NC,28325,Duplin County,Green,,
NC,28478,Duplin County,Green,,
NC,28133,Anson County,,,Red
NC,28135,Anson County,Green,,
NC,28119,Anson County,,Yellow,
NC,28170,Anson County,,Yellow,
NC,28091,Anson County,,,Red
NC,28103,Anson County,,,Red
NC,28007,Anson County,,,Red
NC,28594,Carteret County,,,Red
NC,28584,Carteret County,Green,,
NC,28570,Carteret County,,,Red
NC,28582,Carteret County,,,Red
NC,28557,Carteret County,Green,,
NC,28516,Carteret County,,,Red
NC,28531,Carteret County,,,Red
NC,28528,Carteret County,,,Red
NC,28512,Carteret County,Green,,
NC,28577,Carteret County,,Yellow,
NC,28579,Carteret County,,,Red
NC,28581,Carteret County,Green,,
NC,28553,Carteret County,,Yellow,
NC,28520,Carteret County,,Yellow,
NC,28511,Carteret County,,Yellow,
NC,28524,Carteret County,Green,,
NC,28734,Macon County,,Yellow,
NC,28713,Macon County,,Yellow,
NC,28763,Macon County,,,Red
NC,28781,Macon County,,,Red
NC,28741,Macon County,Green,,
NC,28775,Macon County,,,Red
NC,28779,Macon County,,Yellow,
NC,28723,Jackson County,,Yellow,
NC,28736,Jackson County,Green,,
NC,28774,Jackson County,,Yellow,
NC,28717,Jackson County,,Yellow,
NC,28789,Jackson County,,Yellow,
NC,28741,Jackson County,,Yellow,
NC,28779,Jackson County,,,Red
NC,28783,Jackson County,,Yellow,
NC,28707,Jackson County,,,Red
NC,28719,Jackson County,,,Red
NC,28751,Jackson County,Green,,
NC,28714,Yancey County,,,Red
NC,28740,Yancey County,,Yellow,
NC,28754,Yancey County,Green,,
NC,28777,Yancey County,,,Red
NC,28705,Yancey County,,,Red
NC,27982,Dare County,Green,,
NC,27948,Dare County,,Yellow,
NC,27949,Dare County,Green,,
NC,27959,Dare County,,,Red
NC,27954,Dare County,,Yellow,
NC,27953,Dare County,,,Red
NC,27978,Dare County,,Yellow,
NC,27981,Dare County,,Yellow,
NC,27972,Dare County,,Yellow,
NC,27936,Dare County,,Yellow,
NC,27920,Dare County,,,Red
NC,27915,Dare County,,Yellow,
NC,27968,Dare County,,,Red
NC,27943,Dare County,Green,,
NC,27330,Lee County,Green,,
NC,27332,Lee County,,,Red
NC,27505,Lee County,,Yellow,
NC,28326,Lee County,Green,,
NC,27331,Lee County,,Yellow,
NC,28771,Graham County,,Yellow,
NC,28733,Graham County,Green,,
NC,28702,Graham County,,Yellow,
NC,28337,Bladen County,,Yellow,
NC,28433,Bladen County,,Yellow,
NC,28320,Bladen County,Green,,
NC,28456,Bladen County,,,Red
NC,28448,Bladen County,,Yellow,
NC,28434,Bladen County,Green,,
NC,28392,Bladen County,Green,,
NC,28306,Bladen County,,,Red
NC,28441,Bladen County,,,Red
NC,28438,Bladen County,,,Red
NC,28423,Bladen County,,,Red
NC,28399,Bladen County,,,Red
NC,28444,Bladen County,,,Red
NC,28384,Bladen County,,,Red
NC,28447,Bladen County,,,Red
NC,28312,Bladen County,,,Red
NC,28332,Bladen County,Green,,
NC,28435,Bladen County,,,Red
NC,28382,Bladen County,,Yellow,
NC,28450,Bladen County,,,Red
NC,27962,Washington County,,Yellow,
NC,27970,Washington County,Green,,
NC,27928,Washington County,Green,,
NC,27860,Washington County,,Yellow,
NC,28768,Transylvania County,,Yellow,
NC,28747,Transylvania County,,Yellow,
NC,28712,Transylvania County,Green,,
NC,28772,Transylvania County,Green,,
NC,28774,Transylvania County,,Yellow,
NC,28708,Transylvania County,,Yellow,
NC,28766,Transylvania County,Green,,
NC,28718,Transylvania County,Green,,
NC,28742,Transylvania County,Green,,
NC,28739,Transylvania County,Green,,
NC,28573,Jones County,,,Red
NC,28555,Jones County,,,Red
NC,28585,Jones County,,,Red
NC,28501,Jones County,,,Red
NC,28562,Jones County,,Yellow,
NC,28572,Jones County,Green,,
NC,28526,Jones County,,Yellow,
NC,28504,Jones County,,,Red
NC,28574,Jones County,,Yellow,
NC,28901,Cherokee County,,,Red
NC,28906,Cherokee County,,Yellow,
NC,28902,Cherokee County,Green,,
NC,28905,Cherokee County,Green,,
NC,27306,Montgomery County,,,Red
NC,27356,Montgomery County,,Yellow,
NC,27229,Montgomery County,Green,,
NC,27371,Montgomery County,,Yellow,
NC,28127,Montgomery County,,Yellow,
NC,27209,Montgomery County,,Yellow,
NC,27281,Montgomery County,,Yellow,
NC,27341,Montgomery County,,Yellow,
NC,28338,Montgomery County,,,Red
NC,27803,Wilson County,Green,,
NC,27822,Wilson County,,,Red
NC,27893,Wilson County,Green,,
NC,27542,Wilson County,Green,,
NC,27851,Wilson County,Green,,
NC,27557,Wilson County,Green,,
NC,27880,Wilson County,,Yellow,
NC,27807,Wilson County,,,Red
NC,27896,Wilson County,Green,,
NC,27830,Wilson County,Green,,
NC,27813,Wilson County,,,Red
NC,27883,Wilson County,,Yellow,
NC,27888,Wilson County,,,Red
NC,27873,Wilson County,,,Red
NC,27829,Wilson County,,Yellow,
NC,27852,Wilson County,,,Red
NC,27536,Vance County,,,Red
NC,27553,Vance County,Green,,
NC,27537,Vance County,,Yellow,
NC,27507,Vance County,,Yellow,
NC,27565,Vance County,Green,,
NC,27544,Vance County,Green,,
NC,27563,Vance County,,,Red
NC,27556,Vance County,Green,,
NC,27212,Caswell County,,Yellow,
NC,27326,Caswell County,,Yellow,
NC,27311,Caswell County,,Yellow,
NC,27320,Caswell County,,Yellow,
NC,27244,Caswell County,Green,,
NC,27249,Caswell County,,,Red
NC,27315,Caswell County,,,Red
NC,27379,Caswell County,Green,,
NC,27217,Caswell County,Green,,
NC,27305,Caswell County,,Yellow,
NC,27302,Caswell County,,Yellow,
NC,27215,Caswell County,,Yellow,
NC,27314,Caswell County,,Yellow,
NC,27291,Caswell County,,,Red
NC,27343,Caswell County,Green,,
NC,27231,Caswell County,,,Red
NC,28560,Pamlico County,,,Red
NC,28510,Pamlico County,Green,,
NC,28562,Pamlico County,,Yellow,
NC,28529,Pamlico County,,Yellow,
NC,28509,Pamlico County,,,Red
NC,28571,Pamlico County,,Yellow,
NC,28515,Pamlico County,,,Red
NC,28587,Pamlico County,,,Red
NC,28583,Pamlico County,,Yellow,
NC,28556,Pamlico County,,Yellow,
NC,28552,Pamlico County,Green,,
NC,28537,Pamlico County,Green,,
NC,28663,Alleghany County,Green,,
NC,28672,Alleghany County,Green,,
NC,28644,Alleghany County,,Yellow,
NC,28675,Alleghany County,Green,,
NC,28627,Alleghany County,Green,,
NC,28623,Alleghany County,,Yellow,
NC,28668,Alleghany County,,Yellow,
NC,28631,Alleghany County,,,Red
NC,27872,Bertie County,,Yellow,
NC,27847,Bertie County,,,Red
NC,27983,Bertie County,,Yellow,
NC,27849,Bertie County,Green,,
NC,27805,Bertie County,,,Red
NC,27910,Bertie County,,,Red
NC,27869,Bertie County,,Yellow,
NC,27924,Bertie County,Green,,
NC,27957,Bertie County,Green,,
NC,27967,Bertie County,,,Red
NC,28617,Ashe County,,Yellow,
NC,28672,Ashe County,,,Red
NC,28644,Ashe County,,Yellow,
NC,28615,Ashe County,,,Red
NC,28693,Ashe County,,,Red
NC,28643,Ashe County,Green,,
NC,28684,Ashe County,,,Red
NC,28631,Ashe County,Green,,
NC,28694,Ashe County,Green,,
NC,28640,Ashe County,Green,,
NC,28698,Ashe County,,Yellow,
NC,28626,Ashe County,,Yellow,
NC,28629,Ashe County,,Yellow,
NC,27889,Beaufort County,,Yellow,
NC,27871,Beaufort County,,Yellow,
NC,27962,Beaufort County,,,Red
NC,27865,Beaufort County,,Yellow,
NC,27860,Beaufort County,,,Red
NC,27808,Beaufort County,,Yellow,
NC,27810,Beaufort County,Green,,
NC,27817,Beaufort County,,Yellow,
NC,27814,Beaufort County,,Yellow,
NC,28586,Beaufort County,,,Red
NC,27837,Beaufort County,Green,,
NC,27806,Beaufort County,,,Red
NC,27821,Beaufort County,,,Red
NC,27892,Beaufort County,,Yellow,
NC,27834,Beaufort County,Green,,
NC,27976,Camden County,,Yellow,
NC,27921,Camden County,,,Red
NC,27973,Camden County,,Yellow,
NC,27974,Camden County,Green,,
NC,27932,Chowan County,,Yellow,
NC,27980,Chowan County,,Yellow,
NC,27946,Chowan County,Green,,
NC,27944,Chowan County,,Yellow,
NC,27919,Chowan County,Green,,
NC,28909,Clay County,,Yellow,
NC,28902,Clay County,Green,,
NC,28904,Clay County,,,Red
NC,28906,Clay County,,Yellow,
NC,28734,Clay County,Green,,
NC,28463,Columbus County,,Yellow,
NC,28430,Columbus County,,Yellow,
NC,28439,Columbus County,,Yellow,
NC,28432,Columbus County,,,Red
NC,28431,Columbus County,Green,,
NC,28472,Columbus County,,Yellow,
NC,28424,Columbus County,,Yellow,
NC,28455,Columbus County,Green,,
NC,28438,Columbus County,,,Red
NC,28320,Columbus County,Green,,
NC,28433,Columbus County,,Yellow,
NC,28442,Columbus County,,Yellow,
NC,28450,Columbus County,,,Red
NC,28423,Columbus County,,,Red
NC,28456,Columbus County,,,Red
NC,28436,Columbus County,,Yellow,
NC,27937,Gates County,Green,,
NC,27938,Gates County,,Yellow,
NC,27926,Gates County,,Yellow,
NC,27979,Gates County,Green,,
NC,27935,Gates County,,Yellow,
NC,27946,Gates County,Green,,
NC,27919,Gates County,Green,,
NC,27883,Greene County,Green,,
NC,28580,Greene County,,,Red
NC,27863,Greene County,,,Red
NC,27888,Greene County,,Yellow,
NC,27828,Greene County,,Yellow,
NC,28551,Greene County,,Yellow,
NC,28538,Greene County,,,Red
NC,28554,Greene County,,Yellow,
NC,28530,Greene County,,Yellow,
NC,28513,Greene County,Green,,
NC,27850,Halifax County,Green,,
NC,27823,Halifax County,Green,,
NC,27844,Halifax County,Green,,
NC,27870,Halifax County,,Yellow,
NC,27839,Halifax County,,,Red
NC,27874,Halifax County,Green,,
NC,27843,Halifax County,,Yellow,
NC,27890,Halifax County,,,Red
NC,27891,Halifax County,,Yellow,
NC,27818,Hertford County,,,Red
NC,27805,Hertford County,,Yellow,
NC,27897,Hertford County,Green,,
NC,27855,Hertford County,Green,,
NC,27910,Hertford County,,Yellow,
NC,27986,Hertford County,,,Red
NC,27922,Hertford County,,Yellow,
NC,27942,Hertford County,Green,,
NC,27924,Hertford County,Green,,
NC,28377,Hoke County,,Yellow,
NC,28364,Hoke County,,,Red
NC,28386,Hoke County,,Yellow,
NC,28376,Hoke County,,,Red
NC,28304,Hoke County,,,Red
NC,28306,Hoke County,Green,,
NC,28315,Hoke County,Green,,
NC,28357,Hoke County,Green,,
NC,28371,Hoke County,,Yellow,
NC,27960,Hyde County,,Yellow,
NC,27929,Hyde County,,,Red
NC,27824,Hyde County,,,Red
NC,27826,Hyde County,Green,,
NC,27885,Hyde County,,Yellow,
NC,27921,Hyde County,,Yellow,
NC,27810,Hyde County,,Yellow,
NC,27875,Hyde County,,,Red
NC,27860,Hyde County,,,Red
NC,27846,Martin County,Green,,
NC,27892,Martin County,,,Red
NC,27871,Martin County,,,Red
NC,27825,Martin County,Green,,
NC,27861,Martin County,Green,,
NC,27857,Martin County,,Yellow,
NC,27812,Martin County,,Yellow,
NC,27840,Martin County,Green,,
NC,27841,Martin County,,,Red
NC,27843,Martin County,Green,,
NC,28705,Mitchell County,,,Red
NC,28777,Mitchell County,,,Red
NC,28740,Mitchell County,Green,,
NC,28765,Mitchell County,,,Red
NC,27832,Northampton County,,Yellow,
NC,27842,Northampton County,Green,,
NC,27866,Northampton County,Green,,
NC,27831,Northampton County,,,Red
NC,27845,Northampton County,Green,,
NC,27820,Northampton County,,Yellow,
NC,27855,Northampton County,,,Red
NC,27862,Northampton County,,Yellow,
NC,27876,Northampton County,,,Red
NC,27897,Northampton County,,,Red
NC,27869,Northampton County,Green,,
NC,27853,Northampton County,,Yellow,
NC,27877,Northampton County,,Yellow,
NC,27919,Perquimans County,Green,,
NC,27944,Perquimans County,,Yellow,
NC,27980,Perquimans County,,Yellow,
NC,27932,Perquimans County,,Yellow,
NC,27985,Perquimans County,Green,,
NC,27909,Pasquotank County,Green,,
NC,28328,Sampson County,Green,,
NC,28382,Sampson County,Green,,
NC,28318,Sampson County,,Yellow,
NC,28385,Sampson County,Green,,
NC,28344,Sampson County,,,Red
NC,28444,Sampson County,,Yellow,
NC,28478,Sampson County,Green,,
NC,28447,Sampson County,,Yellow,
NC,28366,Sampson County,,Yellow,
NC,28341,Sampson County,,,Red
NC,28441,Sampson County,,Yellow,
NC,28458,Sampson County,,,Red
NC,28334,Sampson County,Green,,
NC,28365,Sampson County,,,Red
NC,28453,Sampson County,,Yellow,
NC,28393,Sampson County,,Yellow,
NC,28391,Sampson County,Green,,
NC,28466,Sampson County,Green,,
NC,28713,Swain County,,Yellow,
NC,28771,Swain County,Green,,
NC,28781,Swain County,,,Red
NC,28702,Swain County,Green,,
NC,28789,Swain County,Green,,
NC,28719,Swain County,,Yellow,
NC,27024,Surry County,Green,,
NC,27030,Surry County,Green,,
NC,28683,Surry County,Green,,
NC,28676,Surry County,,Yellow,
NC,28621,Surry County,,,Red
NC,27017,Surry County,,Yellow,
NC,27011,Surry County,,Yellow,
NC,27049,Surry County,,,Red
NC,27053,Surry County,,Yellow,
NC,27007,Surry County,,,Red
NC,27047,Surry County,,Yellow,
NC,27043,Surry County,,,Red
NC,27041,Surry County,,Yellow,
NC,27925,Tyrrell County,Green,,
NC,27928,Tyrrell County,Green,,
NC,27826,Tyrrell County,Green,,
NC,27553,Warren County,,Yellow,
NC,27537,Warren County,Green,,
NC,27563,Warren County,,,Red
NC,27589,Warren County,,Yellow,
NC,27551,Warren County,,,Red
NC,27850,Warren County,,Yellow,
NC,27844,Warren County,,Yellow,
NC,27842,Warren County,,,Red
NC,28365,Wayne County,,Yellow,
NC,27534,Wayne County,,Yellow,
NC,27542,Wayne County,Green,,
NC,28659,Wilkes County,,,Red
NC,28669,Wilkes County,Green,,
NC,28697,Wilkes County,,Yellow,
NC,28606,Wilkes County,Green,,
NC,28654,Wilkes County,Green,,
NC,28621,Wilkes County,Green,,
NC,28670,Wilkes County,,Yellow,
NC,28676,Wilkes County,,Yellow,
NC,28685,Wilkes County,,Yellow,
NC,28624,Wilkes County,Green,,
NC,28645,Wilkes County,Green,,
NC,28665,Wilkes County,,,Red
NC,28618,Wilkes County,Green,,
NC,28651,Wilkes County,Green,,
NC,28649,Wilkes County,,Yellow,
NC,28635,Wilkes County,,,Red
NC,28642,Wilkes County,Green,,
NC,28689,Wilkes County,,,Red
NC,27020,Wilkes County,,Yellow,
NC,28683,Wilkes County,,,Red
NC,28644,Wilkes County,,,Red
