NC,Zip,County,Green,Yellow,Red
NC,28366,Johnston County,,,Red
NC,28334,Johnston County,,Yellow,
NC,27568,Johnston County,,,Red
NC,27863,Johnston County,,Yellow,
NC,27555,Johnston County,Green,,
NC,27610,Johnston County,,,Red
NC,28080,Lincoln County,,Yellow,
NC,28090,Lincoln County,Green,,
NC,28092,Lincoln County,,Yellow,
NC,28164,Lincoln County,,Yellow,
NC,28037,Lincoln County,,,Red
NC,28021,Lincoln County,Green,,
NC,28168,Lincoln County,Green,,
NC,28033,Lincoln County,Green,,
NC,28650,Lincoln County,,Yellow,
NC,28006,Lincoln County,Green,,
NC,28673,Lincoln County,,,Red
NC,28054,Gaston County,Green,,
NC,28012,Gaston County,Green,,
NC,28056,Gaston County,,,Red
NC,28052,Gaston County,,Yellow,
NC,28120,Gaston County,Green,,
NC,28164,Gaston County,,,Red
NC,28021,Gaston County,Green,,
NC,28016,Gaston County,,Yellow,
NC,28086,Gaston County,,,Red
NC,28034,Gaston County,,Yellow,
NC,28032,Gaston County,,,Red
NC,28033,Gaston County,Green,,
NC,28092,Gaston County,,,Red
NC,28098,Gaston County,,,Red
NC,28006,Gaston County,Green,,
NC,28077,Gaston County,,,Red
NC,28101,Gaston County,,,Red
NC,28080,Gaston County,,,Red
NC,28411,New Hanover County,,,Red
NC,28401,New Hanover County,,Yellow,
NC,28429,New Hanover County,,,Red
NC,28403,New Hanover County,Green,,
NC,28449,New Hanover County,,Yellow,
NC,28428,New Hanover County,,Yellow,
NC,28412,New Hanover County,Green,,
NC,28409,New Hanover County,Green,,
NC,28405,New Hanover County,,,Red
NC,28480,New Hanover County,,,Red
NC,27217,Alamance County,,,Red
NC,27349,Alamance County,,,Red
NC,27253,Alamance County,,,Red
NC,27244,Alamance County,,,Red
NC,27302,Alamance County,,Yellow,
NC,27215,Alamance County,,Yellow,
NC,27258,Alamance County,Green,,
NC,27298,Alamance County,,,Red
NC,27249,Alamance County,Green,,
NC,27312,Alamance County,Green,,
NC,27344,Alamance County,,Yellow,
NC,27359,Alamance County,,Yellow,
NC,27201,Alamance County,Green,,
NC,27302,Orange County,Green,,
NC,27514,Orange County,,,Red
NC,27278,Orange County,Green,,
NC,27231,Orange County,,Yellow,
NC,27516,Orange County,,Yellow,
NC,27243,Orange County,,Yellow,
NC,27517,Orange County,,,Red
NC,27572,Orange County,Green,,
NC,27510,Orange County,,Yellow,
NC,27705,Orange County,,Yellow,
NC,27712,Orange County,,,Red
NC,27541,Orange County,,,Red
NC,27707,Orange County,Green,,
NC,27312,Orange County,,Yellow,
NC,27583,Orange County,,,Red
NC,28690,Burke County,Green,,
NC,28655,Burke County,,,Red
NC,28612,Burke County,Green,,
NC,28602,Burke County,,Yellow,
NC,28601,Burke County,,,Red
NC,28637,Burke County,,,Red
NC,28657,Burke County,Green,,
NC,28761,Burke County,,Yellow,
NC,28671,Burke County,,Yellow,
NC,28645,Burke County,Green,,
NC,28619,Burke County,,,Red
NC,28630,Burke County,Green,,
NC,28739,Henderson County,,Yellow,
NC,28792,Henderson County,,,Red
NC,28742,Henderson County,,Yellow,
NC,28790,Henderson County,,Yellow,
NC,28759,Henderson County,,,Red
NC,28731,Henderson County,Green,,
NC,28766,Henderson County,,Yellow,
NC,28729,Henderson County,,,Red
NC,28791,Henderson County,Green,,
NC,28773,Henderson County,Green,,
NC,28732,Henderson County,,,Red
NC,28704,Henderson County,Green,,
NC,28735,Henderson County,,,Red
NC,28726,Henderson County,,,Red
NC,28711,Henderson County,,,Red
NC,27858,Pitt County,,,Red
NC,27834,Pitt County,,,Red
NC,27837,Pitt County,,,Red
NC,28530,Pitt County,,,Red
NC,27889,Pitt County,,Yellow,
NC,28590,Pitt County,,,Red
NC,27812,Pitt County,Green,,
NC,27828,Pitt County,,,Red
NC,28513,Pitt County,,Yellow,
NC,27829,Pitt County,,Yellow,
NC,27884,Pitt County,Green,,
NC,27871,Pitt County,,Yellow,
NC,27817,Pitt County,,Yellow,
NC,28586,Pitt County,Green,,
NC,27886,Pitt County,,Yellow,
NC,27852,Pitt County,,,Red
NC,27879,Pitt County,,,Red
NC,27888,Pitt County,,,Red
NC,27019,Stokes County,Green,,
NC,27052,Stokes County,Green,,
NC,27021,Stokes County,,,Red
NC,27016,Stokes County,Green,,
NC,27022,Stokes County,Green,,
NC,27043,Stokes County,Green,,
NC,27050,Stokes County,,Yellow,
NC,27046,Stokes County,Green,,
NC,27053,Stokes County,,Yellow,
NC,27041,Stokes County,,Yellow,
NC,27030,Stokes County,,,Red
NC,27025,Stokes County,Green,,
NC,27042,Stokes County,,,Red
NC,27009,Stokes County,,,Red
NC,27045,Stokes County,,,Red
NC,27357,Stokes County,,,Red
NC,27320,Rockingham County,Green,,
NC,27249,Rockingham County,,,Red
NC,27357,Rockingham County,,,Red
NC,27288,Rockingham County,,,Red
NC,27025,Rockingham County,,Yellow,
NC,27358,Rockingham County,,Yellow,
NC,27048,Rockingham County,,,Red
NC,27326,Rockingham County,Green,,
NC,27311,Rockingham County,Green,,
NC,27027,Rockingham County,,,Red
NC,27375,Rockingham County,,,Red
NC,27214,Rockingham County,,Yellow,
NC,27046,Rockingham County,,Yellow,
NC,27332,Harnett County,,,Red
NC,28326,Harnett County,Green,,
NC,27546,Harnett County,Green,,
NC,27501,Harnett County,Green,,
NC,28334,Harnett County,,,Red
NC,28390,Harnett County,,Yellow,
NC,28339,Harnett County,,Yellow,
NC,27526,Harnett County,,Yellow,
NC,27540,Harnett County,Green,,
NC,27505,Harnett County,,Yellow,
NC,28323,Harnett County,Green,,
NC,27521,Harnett County,,,Red
NC,27504,Harnett County,Green,,
NC,28356,Harnett County,Green,,
NC,27330,Harnett County,Green,,
NC,27592,Harnett County,,Yellow,
NC,28560,Craven County,,,Red
NC,28586,Craven County,Green,,
NC,28562,Craven County,Green,,
NC,28532,Craven County,Green,,
NC,28523,Craven County,Green,,
NC,28527,Craven County,,,Red
NC,28526,Craven County,Green,,
NC,28530,Craven County,,,Red
NC,28519,Craven County,,Yellow,
NC,28573,Craven County,,Yellow,
NC,28373,Moore County,Green,,
NC,28394,Moore County,Green,,
NC,28315,Moore County,,Yellow,
NC,27376,Moore County,,Yellow,
NC,28327,Moore County,,Yellow,
NC,28374,Moore County,,,Red
NC,28387,Moore County,,Yellow,
NC,27281,Moore County,Green,,
NC,27356,Moore County,Green,,
NC,28326,Moore County,,,Red
NC,27325,Moore County,,Yellow,
NC,27242,Moore County,Green,,
NC,27341,Moore County,Green,,
NC,27209,Moore County,Green,,
NC,28347,Moore County,,,Red
NC,27208,Moore County,,Yellow,
NC,27330,Moore County,,,Red
NC,28350,Moore County,,,Red
NC,27259,Moore County,,Yellow,
NC,27574,Person County,,,Red
NC,27573,Person County,,Yellow,
NC,27583,Person County,,,Red
NC,27343,Person County,,,Red
NC,27541,Person County,,,Red
NC,27572,Person County,Green,,
NC,27305,Person County,Green,,
NC,27291,Person County,,Yellow,
NC,27565,Person County,,,Red
NC,28501,Lenoir County,,,Red
NC,28551,Lenoir County,,Yellow,
NC,28504,Lenoir County,,,Red
NC,28525,Lenoir County,,,Red
NC,28572,Lenoir County,,Yellow,
NC,28526,Lenoir County,Green,,
NC,28530,Lenoir County,,Yellow,
NC,28538,Lenoir County,Green,,
NC,28578,Lenoir County,,Yellow,
NC,28580,Lenoir County,Green,,
NC,27525,Granville County,Green,,
NC,27565,Granville County,,Yellow,
NC,27522,Granville County,Green,,
NC,27507,Granville County,Green,,
NC,27572,Granville County,,,Red
NC,27509,Granville County,,,Red
