id,zpid,state,county,address,city,zipcode,price,acres,price_per_acre,days_on_market,score,status,roi_pct,net_profit,red_flags
2885,460850655,TX,Palo Pinto County,"Henley Ln, Gordon, TX, 76453",Gordon,76453,500000.0,46.921,10656.21,2,15,reject,-36.85,-184260.48,"Projected profit is estimated, ROI below threshold"
2852,457894841,TX,Panola County,"County Road 4682, Carthage, TX, 75633",Carthage,75633,45000.0,10.0,4500.0,126,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2806,457202017,TX,Tarrant County,"W Main St, Olney, TX, 76374",Olney,76374,57000.0,6.18,9223.3,154,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2828,458043313,TX,Brazoria County,"0 County Road 212 Lot 212, Angleton, TX, 77515",Angleton,77515,60000.0,5.06,11857.71,119,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2881,446409501,TX,Hardin County,"0 W Lake Rd, Sour Lake, TX, 77659",Sour Lake,77659,65000.0,10.0,6500.0,148,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2819,441870002,TX,Marion County,"1390 Shady Grove Rd, Jefferson, TX, 75657",Jefferson,75657,65500.0,13.1,5000.0,130,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2946,457827078,TX,Harrison County,"Private Road 1332, Elysian Fields, TX, 75642",Elysian Fields,75642,70000.0,5.12,13671.88,128,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2817,447546934,TX,Henderson County,"4107 County Road 3800, Athens, TX, 75752",Athens,75752,85000.0,5.48,15510.95,124,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2831,458041603,TX,Hopkins County,"4744 County Rd, Sulphur Springs, TX, 75482",Sulphur Springs,75482,85000.0,12.0,7083.33,119,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2805,351955315,TX,Limestone County,"0 Fm 1246 E, Thornton, TX, 76687",Thornton,76687,89000.0,11.1,8018.02,156,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
3004,458671415,TX,Smith County,"10719 Portside Cir, Tyler, TX, 75708",Tyler,75708,89900.0,6.822,13177.95,95,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
